Assemblies                               assembly
Bacillus_subtilis_complete_genome        47.19   
Enterococcus_faecalis_complete_genome    54.58   
Escherichia_coli_complete_genome         36.47   
Lactobacillus_fermentum_complete_genome  76.99   
Listeria_monocytogenes_complete_genome   30.46   
Pseudomonas_aeruginosa_complete_genome   33.42   
Salmonella_enterica_complete_genome      44.06   
Staphylococcus_aureus_complete_genome    17.58   
