Assemblies                               assembly
Bacillus_subtilis_complete_genome        1       
Enterococcus_faecalis_complete_genome    1       
Escherichia_coli_complete_genome         1       
Lactobacillus_fermentum_complete_genome  1       
Listeria_monocytogenes_complete_genome   1       
Pseudomonas_aeruginosa_complete_genome   1       
Salmonella_enterica_complete_genome      1       
Staphylococcus_aureus_complete_genome    1       
