Assemblies                               assembly
Bacillus_subtilis_complete_genome        1.000   
Enterococcus_faecalis_complete_genome    1.013   
Escherichia_coli_complete_genome         1.027   
Lactobacillus_fermentum_complete_genome  1.002   
Listeria_monocytogenes_complete_genome   1.019   
Pseudomonas_aeruginosa_complete_genome   1.000   
Salmonella_enterica_complete_genome      1.000   
Staphylococcus_aureus_complete_genome    1.005   
