Assemblies                               assembly
Bacillus_subtilis_complete_genome        4031312 
Enterococcus_faecalis_complete_genome    2848149 
Escherichia_coli_complete_genome         0       
Lactobacillus_fermentum_complete_genome  1905010 
Listeria_monocytogenes_complete_genome   0       
Pseudomonas_aeruginosa_complete_genome   0       
Salmonella_enterica_complete_genome      4711651 
Staphylococcus_aureus_complete_genome    0       
