Assembly	assembly
# contigs (>= 1000 bp)	393
# contigs (>= 5000 bp)	312
# contigs (>= 10000 bp)	246
# contigs (>= 25000 bp)	159
# contigs (>= 50000 bp)	127
Total length (>= 1000 bp)	31627517
Total length (>= 5000 bp)	31382879
Total length (>= 10000 bp)	30888761
Total length (>= 25000 bp)	29530074
Total length (>= 50000 bp)	28412740
# contigs	405
Largest contig	930943
Total length	31635727
GC (%)	44.62
N50	311027
N75	121192
L50	30
L75	71
# N's per 100 kbp	0.63
