Assemblies	assembly
Bacillus_subtilis_complete_genome	4031312
Enterococcus_faecalis_complete_genome	2848149
Escherichia_coli_complete_genome	4724719
Lactobacillus_fermentum_complete_genome	1890766
Listeria_monocytogenes_complete_genome	2998930
Pseudomonas_aeruginosa_complete_genome	6789858
Salmonella_enterica_complete_genome	4711651
Staphylococcus_aureus_complete_genome	4031312
not_aligned	930943
